SampleID,Interaction,Reads,Replicate
A08_0SI_0PR_042024_SI_IX,0 x 0,0,1
B08_0SI_0PR_042024_SI_IX,0 x 0,0.693147180559945,2
C08_0SI_0PR_042024_SI_IX,0 x 0,0.693147180559945,3
D08_0SI_0PR_042024_SI_IX,0 x 0,1.6094379124341,4
E08_0SI_0PR_042024_SI_IX,0 x 0,1.09861228866811,5
F08_0SI_0PR_042024_SI_IX,0 x 0,1.94591014905531,6
A06_0SI_110PR_042024_SI_IX,0 x 1:10,5.10594547390058,1
B06_0SI_110PR_042024_SI_IX,0 x 1:10,4.82028156560504,2
C06_0SI_110PR_042024_SI_IX,0 x 1:10,2.89037175789616,3
D06_0SI_110PR_042024_SI_IX,0 x 1:10,5.52545293913178,4
E06_0SI_110PR_042024_SI_IX,0 x 1:10,6.3491389913798,5
F06_0SI_110PR_042024_SI_IX,0 x 1:10,4.94875989037817,6
A01_11SI_110PR_042024_SI_IX,1:1 x 1:10,14.1119655357024,1
A02_11SI_1100PR_042024_SI_IX,1:1 x 1:100,11.7541053787705,1
A03_11SI_1250PR_042024_SI_IX,1:1 x 1:250,8.45744318701046,1
A04_11SI_11000PR_042024_SI_IX,1:1 x 1:1000,2.56494935746154,1
A05_11SI_12000PR_042024_SI_IX,1:1 x 1:2000,1.79175946922805,1
A07_Neg_11SI_110PR_042024_SI_IX,1:1 x 1:10,14.1789529509757,2
B01_110SI_110PR_042024_SI_IX,1:10 x 1:10,14.1851204831635,1
B02_110SI_1100PR_042024_SI_IX,1:10 x 1:100,9.96255802611312,1
B03_110SI_1250PR_042024_SI_IX,1:10 x 1:250,5.7037824746562,1
B04_110SI_11000PR_042024_SI_IX,1:10 x 1:1000,1.38629436111989,1
B05_110SI_12000PR_042024_SI_IX,1:10 x 1:2000,0.693147180559945,1
B07_Neg_110SI_110PR_042024_SI_IX,1:10 x 1:10,14.2765308324347,2
C01_11SI_110PR_042024_SI_IX,1:1 x 1:10,13.900131997995,3
C02_11SI_1100PR_042024_SI_IX,1:1 x 1:100,11.7300831365996,2
C03_11SI_1250PR_042024_SI_IX,1:1 x 1:250,8.78523362361273,2
C04_11SI_11000PR_042024_SI_IX,1:1 x 1:1000,2.07944154167984,2
C05_11SI_12000PR_042024_SI_IX,1:1 x 1:2000,2.19722457733622,2
C07_Neg_11SI_110PR_042024_SI_IX,1:1 x 1:10,14.3391343348736,4
D01_110SI_110PR_042024_SI_IX,1:10 x 1:10,14.124391341557,3
D02_110SI_1100PR_042024_SI_IX,1:10 x 1:100,8.9939241414114,2
D03_110SI_1250PR_042024_SI_IX,1:10 x 1:250,6.19031540585315,2
D04_110SI_11000PR_042024_SI_IX,1:10 x 1:1000,0,2
D05_110SI_12000PR_042024_SI_IX,1:10 x 1:2000,0,2
D07_Neg_110SI_110PR_042024_SI_IX,1:10 x 1:10,14.1051906330787,4
E01_11SI_110PR_042024_SI_IX,1:1 x 1:10,14.3309146843724,5
E02_11SI_1100PR_042024_SI_IX,1:1 x 1:100,11.6089263152977,3
E03_11SI_1250PR_042024_SI_IX,1:1 x 1:250,8.36100710822691,3
E04_11SI_11000PR_042024_SI_IX,1:1 x 1:1000,2.30258509299405,3
E05_11SI_12000PR_042024_SI_IX,1:1 x 1:2000,3.04452243772342,3
E07_Neg_11SI_110PR_042024_SI_IX,1:1 x 1:10,14.3153830142044,6
F01_110SI_110PR_042024_SI_IX,1:10 x 1:10,14.3236983055922,5
F02_110SI_1100PR_042024_SI_IX,1:10 x 1:100,9.41107470177726,3
F03_110SI_1250PR_042024_SI_IX,1:10 x 1:250,6.35610766069589,3
F04_110SI_11000PR_042024_SI_IX,1:10 x 1:1000,1.94591014905531,3
F05_110SI_12000PR_042024_SI_IX,1:10 x 1:2000,0,3
F07_Neg_110SI_110PR_042024_SI_IX,1:10 x 1:10,14.3095907564261,6
